tsk,CRE_TSK,#tskid { .tskatr &exinf &task +itskpri .stksz &stk },,
tsk,DEF_TEX,%tskid { .texatr &texrtn },0,1
atsk,AID_TSK,.notsk,,
sem,CRE_SEM,#semid { .sematr .isemcnt .maxsem },,
asem,AID_SEM,.nosem,,
flg,CRE_FLG,#flgid { .flgatr .iflgptn },,
aflg,AID_FLG,.nosem,,
dtq,CRE_DTQ,#dtqid { .dtqatr .dtqcnt &dtqmb },,
adtq,AID_DTQ,.nodtq,,
pdq,CRE_PDQ,#pdqid { .pdqatr .pdqcnt +maxdpri &pdqmb },,
apdq,AID_PDQ,.nopdq,,
mbx,CRE_MBX,#mbxid { .mbxatr +maxmpri &mprihd },,
ambx,AID_MBX,.nombx,,
mpf,CRE_MPF,#mpfid { .mpfatr .blkcnt .blksz &mpf &mpfmb },,
ampf,AID_MPF,.nompf,,
cyc,CRE_CYC,#cycid { .cycatr &exinf &cychdr .cyctim .cycphs },,
acyc,AID_CYC,.nocyc,,
alm,CRE_ALM,#almid { .almatr &exinf &almhdr },,
aalm,AID_ALM,.noalm,,
int,CFG_INT,.intno { .intatr +intpri },,
isr,ATT_ISR,{ .isratr &exinf .intno &isr +isrpri },-1,
aisr,AID_ISR,.noisr,,
inh,DEF_INH,.inhno { .inhatr &inthdr },,
exc,DEF_EXC,.excno { .excatr &exchdr },,
ics,DEF_ICS,{ .istksz &istk },-1,
kmm,DEF_KMM,{ .kmmsz &kmm },-1,
ini,ATT_INI,{ .iniatr &exinf &inirtn },-1,
ter,ATT_TER,{ .teratr &exinf &terrtn },-1,
